player_id,shortName,position,birthDate,height,countryId,meta_status,meta_duels,meta_skills,meta_average,meta_defence,meta_passing,meta_physical,meta_shooting,meta_matchLink,meta_videoLink,meta_jerseyNumber,team_id,team_name
71425,Bruno Agnello,midfielder,1985-12-07,176.0,17.0,,74,72,76,74,77,78,76,https://youtu.be/cgnA5pkU_IM,https://youtu.be/OZaPJHnoV4Q,211,49,G3X FC
71703,Lucas Silva,defender,1996-11-28,177.0,17.0,,75,70,79,88,82,83,71,https://youtu.be/W6xuMNGXU34,https://youtu.be/yWeUQe1orZc,80,49,G3X FC
78089,Emerson  Carioca,midfielder,1995-12-07,180.0,,,,,,,,,,,,,49,G3X FC
79730,Everton,forward,1990-11-23,177.0,17.0,,,,,,,,,,,,49,G3X FC
79955,Gegeu,forward,1995-03-22,175.0,17.0,,,,,,,,,,,,49,G3X FC
80059,Dodô Pires,midfielder,1992-02-06,183.0,17.0,,,,,,,,,,,,49,G3X FC
33904,Jeffinho,midfielder,1995-09-27,178.0,17.0,Wildcard,,,,,,,,,,,50,Furia FC
33918,Lipão,forward,1996-12-11,170.0,17.0,Wildcard,,,,,,,,,,,50,Furia FC
33932,Leleti,forward,1996-06-21,173.0,17.0,,,,,,,,,,,,50,Furia FC
68187,Guilherme Monagatti,forward,1992-02-10,183.0,17.0,,83,83,81,72,77,86,87,https://youtu.be/heRN3LonAGg,https://youtu.be/qrvWa47q60I,6,50,Furia FC
68857,Caio Catroca,midfielder,1991-08-30,177.0,17.0,,75,79,78,77,76,82,77,https://youtu.be/heRN3LonAGg,https://youtu.be/BZsd2MqHII8,14,50,Furia FC
69089,Murillo Donato,forward,1999-07-24,178.0,17.0,,83,81,80,70,79,86,84,https://youtu.be/pyrJOtXKH0g,https://youtu.be/-GnXTohcJ7U,180,50,Furia FC
69648,Ryan Lima,forward,2001-07-17,179.0,17.0,,77,74,75,70,71,75,79,https://youtu.be/a1O7No9x1H0,https://youtu.be/C2BTY05Oq0k,22,50,Furia FC
71032,João Pelegrini,defender,1998-02-08,188.0,17.0,,71,61,73,78,78,78,68,https://youtu.be/cgnA5pkU_IM,https://youtu.be/YXScwD-A-EA,62,50,Furia FC
71542,Victor Hugo,goalkeeper,1991-01-16,182.0,17.0,,74,,79,,,,,https://youtu.be/W6xuMNGXU34,https://youtu.be/xO18eEXIaOI,334,50,Furia FC
71665,Matheus Dedo,midfielder,2001-11-17,181.0,17.0,,73,70,73,70,71,81,71,https://youtu.be/W6xuMNGXU34,https://youtu.be/U_J_skBVRKw,75,50,Furia FC
68330,Vini Alexandre,midfielder,2000-04-22,166.0,17.0,,76,72,77,86,75,83,72,https://youtu.be/gPmmx78lJmA,https://youtu.be/sF5KWGPSglo,164,160,Fluxo FC
68692,Thiago de Oliveira,goalkeeper,2005-06-25,186.0,17.0,,85,,73,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/5iDQ74dzfSI,316,160,Fluxo FC
69184,Victor Bueno,forward,2000-10-05,175.0,17.0,,86,80,82,72,77,88,87,https://youtu.be/xzaBPP87nj4,https://youtu.be/F-6sWDj4XYA,55,160,Fluxo FC
69206,Thiaguinho,midfielder,2000-02-17,176.0,17.0,,73,78,73,70,72,75,72,https://youtu.be/pyrJOtXKH0g,https://youtu.be/L1d6jtQMB6s,182,160,Fluxo FC
69775,Julio Carvalho,goalkeeper,1992-05-05,184.0,17.0,,80,,84,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/SQkuHb4sIZY,320,160,Fluxo FC
70589,Serginho,midfielder,1995-08-05,173.0,17.0,,71,72,75,76,70,77,73,https://youtu.be/Yv579-6_SVw,https://youtu.be/z2B1XG-cqHk,61,160,Fluxo FC
70682,Vini Melequinha,defender,1999-06-25,179.0,17.0,,70,64,72,75,74,78,68,https://youtu.be/Yv579-6_SVw,https://youtu.be/3fQr_3DPdds,193,160,Fluxo FC
70864,Murillo,defender,1998-12-22,189.0,17.0,,77,71,74,79,67,82,64,https://youtu.be/xzaBPP87nj4,https://youtu.be/MO4VinOagY8,50,160,Fluxo FC
71434,Caio Sanchez,forward,1993-01-27,189.0,17.0,,71,71,73,70,74,77,71,https://youtu.be/cgnA5pkU_IM,https://youtu.be/EaUusuNNiv4,69,160,Fluxo FC
71484,Intera,midfielder,1996-03-04,168.0,17.0,,78,77,78,72,78,83,76,https://youtu.be/cgnA5pkU_IM,https://youtu.be/XCYsISAi6wk,79,160,Fluxo FC
78053,Luís Boolt,forward,1994-09-13,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC
78054,Helber Jr.,forward,1996-01-15,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC
78058,Chaveirinho,midfielder,1996-09-23,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC
68029,Tuco,midfielder,1992-10-02,177.0,17.0,,70,59,70,74,74,75,66,https://youtu.be/gPmmx78lJmA,https://youtu.be/ihcuoIVMKwY,9,161,Dendele FC
68204,Romarinho,midfielder,1996-08-09,177.0,17.0,,64,56,66,73,59,74,68,https://youtu.be/gPmmx78lJmA,https://youtu.be/yRCZ1lGjsow,157,161,Dendele FC
68488,Thales,goalkeeper,1991-08-19,188.0,17.0,,82,,84,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/Ff544xzI4JM,315,161,Dendele FC
68958,Assump,midfielder,1990-03-31,182.0,17.0,,72,86,79,83,72,81,76,https://youtu.be/heRN3LonAGg,https://youtu.be/AfwsgExJObA,165,161,Dendele FC
69094,Maikon,goalkeeper,1987-12-08,188.0,17.0,,85,,77,,,,,https://youtu.be/xzaBPP87nj4,https://youtu.be/DWGzwaoQ4ts,325,161,Dendele FC
70239,Mathias,midfielder,2001-11-18,175.0,17.0,,70,68,72,67,70,78,75,https://youtu.be/a1O7No9x1H0,https://youtu.be/WCz9U5WsoTA,29,161,Dendele FC
70494,Fifão,defender,1997-07-03,187.0,17.0,,67,62,70,76,75,75,62,https://youtu.be/a1O7No9x1H0,https://youtu.be/0TrauG09mXk,171,161,Dendele FC
70901,Coity,forward,1995-10-18,185.0,17.0,,75,76,74,68,59,84,78,https://youtu.be/xzaBPP87nj4,https://youtu.be/wZFqnFqvHWg,49,161,Dendele FC
71448,Gabriel Repulho,forward,1999-10-19,184.0,17.0,,80,79,78,72,74,82,81,https://youtu.be/xzaBPP87nj4,https://youtu.be/nZPuNHtrsC8,203,161,Dendele FC
71567,Guilherme Carvalho,defender,1991-08-06,178.0,17.0,,77,68,77,86,82,79,70,https://youtu.be/W6xuMNGXU34,https://youtu.be/DLwelBm_8s0,220,161,Dendele FC
78025,Canhoto,midfielder,2001-04-25,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC
78026,Kaká,midfielder,1996-03-27,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC
78027,Lyncoln Oliveira,defender,1997-01-22,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC
78028,Lucas Hector,midfielder,2000-02-26,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC
68128,Higor Rock,forward,1999-08-28,183.0,17.0,,82,80,81,70,82,86,84,https://youtu.be/gPmmx78lJmA,https://youtu.be/RLrxTKnKxa4,154,162,LOUD SC
68272,Gabriel Kawa,goalkeeper,2000-08-07,189.0,17.0,,77,,84,,,,,https://youtu.be/heRN3LonAGg,https://youtu.be/yY8ssT5HdrM,301,162,LOUD SC
68816,Luis Henrique,midfielder,1998-02-21,183.0,17.0,,71,67,71,70,71,76,69,https://youtu.be/Yv579-6_SVw,https://youtu.be/grA9wPkSOlU,47,162,LOUD SC
70771,Josué Campos,defender,1994-02-14,192.0,17.0,,74,74,79,87,77,82,77,https://youtu.be/Yv579-6_SVw,https://youtu.be/lkCfBGFuErE,191,162,LOUD SC
70854,Kelvis Nunes,midfielder,2005-04-16,168.0,17.0,,77,78,76,76,66,79,76,https://youtu.be/xzaBPP87nj4,https://youtu.be/djYg8OWYZQI,194,162,LOUD SC
70950,Julio Rodrigues,forward,1996-06-16,176.0,17.0,,74,76,74,69,63,77,82,https://youtu.be/cgnA5pkU_IM,https://youtu.be/L9iYou-h6Ic,81,162,LOUD SC
71411,Matheus Lisboa,midfielder,1996-11-13,170.0,17.0,,77,76,80,82,82,79,79,https://youtu.be/cgnA5pkU_IM,https://youtu.be/W9RLrLIo1rA,68,162,LOUD SC
71521,Nathan Lucas,forward,2000-11-14,178.0,17.0,,75,70,71,67,65,77,68,https://youtu.be/W6xuMNGXU34,https://youtu.be/XRGWEYeQW7o,209,162,LOUD SC
71635,Lucas Dos Anjos,midfielder,2001-02-17,177.0,17.0,,81,81,80,82,79,79,80,https://youtu.be/W6xuMNGXU34,https://youtu.be/aQnenoagyR8,216,162,LOUD SC
71724,Lukinhas,midfielder,2001-05-05,170.0,17.0,,70,75,75,71,69,98,69,https://youtu.be/W6xuMNGXU34,https://youtu.be/Rzr_s_7qnpE,64,162,LOUD SC
78055,Rafa Neguinho,midfielder,1993-08-01,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC
78056,Esaú,goalkeeper,1999-01-11,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC
78057,Iago Soares,defender,1993-03-10,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC
79742,Douglas Marques ,forward,1994-12-27,175.0,17.0,,,,,,,,,,,,162,LOUD SC
80069,João Felipe,goalkeeper,1997-12-09,180.0,17.0,,,,,,,,,,,,162,LOUD SC
80070,Pedro Pereira,forward,1996-06-08,180.0,17.0,,,,,,,,,,,,162,LOUD SC
33814,Caio Japa,forward,2004-07-06,170.0,17.0,,75,61,71,67,69,80,72,https://youtu.be/W6xuMNGXU34,https://youtu.be/SmSn3FnwGOc,213,163,Nyvelados FC
68223,Gustavo Simon,midfielder,1999-02-19,187.0,17.0,,73,65,70,74,74,70,69,https://youtu.be/gPmmx78lJmA,https://youtu.be/8rlchw-sgdg,11,163,Nyvelados FC
68281,Ivo Alves,goalkeeper,1998-07-09,177.0,17.0,,80,,76,,,,,https://youtu.be/heRN3LonAGg,https://youtu.be/ppQg5xj3KzA,307,163,Nyvelados FC
68396,Matheus Klynsmann,midfielder,1995-12-10,173.0,17.0,,69,68,71,72,73,76,67,https://youtu.be/heRN3LonAGg,https://youtu.be/GfaFHfQnqPs,19,163,Nyvelados FC
68954,Bruninho,midfielder,1994-06-21,179.0,17.0,,63,53,66,74,71,72,62,https://youtu.be/heRN3LonAGg,https://youtu.be/BSUvMLH2mr8,158,163,Nyvelados FC
70408,Bruno Mendes,midfielder,1994-07-23,183.0,17.0,,70,70,72,78,65,73,73,https://youtu.be/a1O7No9x1H0,https://youtu.be/7GLbePHMyXo,28,163,Nyvelados FC
70810,Vinicius Miranda,defender,2003-09-30,186.0,17.0,,78,70,76,82,81,75,68,https://youtu.be/xzaBPP87nj4,https://youtu.be/RF7Zwhgg9Ao,45,163,Nyvelados FC
71123,Choco,forward,1999-10-26,,17.0,,,,,,,,,,,,163,Nyvelados FC
71664,Breno Arantes,midfielder,2001-04-06,183.0,17.0,,77,79,79,76,78,81,78,https://youtu.be/W6xuMNGXU34,https://youtu.be/7rLzru_y-Sg,71,163,Nyvelados FC
78021,Leo Gol,midfielder,1999-12-14,170.0,17.0,Wildcard,,,,,,,,,,,163,Nyvelados FC
78062,Willian de Jesus,defender,1990-10-27,180.0,17.0,,,,,,,,,,,,163,Nyvelados FC
79732,Ruan da Silva Pereira,midfielder,1991-09-11,170.0,17.0,,,,,,,,,,,,163,Nyvelados FC
79954,Matheus Martins,midfielder,1993-02-03,175.0,17.0,,,,,,,,,,,,163,Nyvelados FC
80067,Marcus Vinicius,midfielder,1992-10-19,170.0,17.0,,,,,,,,,,,,163,Nyvelados FC
68369,Guilherme Barros,goalkeeper,2004-04-06,195.0,17.0,,74,,71,,,,,https://youtu.be/pyrJOtXKH0g,https://youtu.be/Xq2I8bunusU,311,164,Funkbol Clube
68399,Luiz Pepinho,forward,1996-04-13,173.0,17.0,,67,58,67,78,65,68,67,https://youtu.be/heRN3LonAGg,https://youtu.be/EaH69uZKC7s,12,164,Funkbol Clube
68575,MlkJhoow,defender,2000-10-04,186.0,17.0,,81,77,81,89,82,80,77,https://youtu.be/heRN3LonAGg,https://youtu.be/iVLG57IW7XM,8,164,Funkbol Clube
68786,Marcelo Silva,midfielder,2003-03-20,171.0,17.0,,78,77,77,76,77,76,74,https://youtu.be/heRN3LonAGg,https://youtu.be/YA_hY6TV2jw,20,164,Funkbol Clube
68856,Lucas Matheus,midfielder,2000-05-01,165.0,17.0,,70,61,72,83,67,75,72,https://youtu.be/heRN3LonAGg,https://youtu.be/tDkiKTem2NY,2,164,Funkbol Clube
69617,Douglinha,forward,1994-02-20,178.0,17.0,,83,82,78,70,73,78,78,https://youtu.be/a1O7No9x1H0,https://youtu.be/sZqX6A8_3DI,32,164,Funkbol Clube
70449,Vitinho Ruas,midfielder,1996-08-04,179.0,17.0,,77,79,79,82,80,80,78,https://youtu.be/a1O7No9x1H0,https://youtu.be/z45INcYDbpg,21,164,Funkbol Clube
70535,TH,forward,2000-08-30,175.0,17.0,,72,60,71,76,68,83,65,https://youtu.be/Yv579-6_SVw,https://youtu.be/ip7sEzhkkPo,187,164,Funkbol Clube
71632,Flávio Stockunas,defender,1992-02-28,185.0,17.0,,78,70,79,85,80,83,74,https://youtu.be/W6xuMNGXU34,https://youtu.be/grEW40nQiQ8,66,164,Funkbol Clube
78048,Rodrigo Rocha,goalkeeper,1985-01-07,170.0,17.0,Wildcard,,,,,,,,,,,164,Funkbol Clube
78063,Marcelo Fattori,midfielder,1993-05-06,180.0,17.0,,,,,,,,,,,,164,Funkbol Clube
78090,Betão Ribeiro,midfielder,1987-11-12,170.0,17.0,,,,,,,,,,,,164,Funkbol Clube
79735,João Otávio,forward,1991-05-09,180.0,17.0,,,,,,,,,,,,164,Funkbol Clube
79956,Ibrahim,midfielder,2001-06-27,172.0,35.0,,,,,,,,,,,,164,Funkbol Clube
79957,Juan Felipe,midfielder,1987-12-05,175.0,17.0,,,,,,,,,,,,164,Funkbol Clube
79958,Dávisson,midfielder,2001-05-09,170.0,17.0,,,,,,,,,,,,164,Funkbol Clube
80058,Maurício,defender,2003-08-21,195.0,17.0,,,,,,,,,,,,164,Funkbol Clube
34219,Well,midfielder,1997-07-21,179.0,17.0,Wildcard,,,,,,,,,,,166,FC Real Elite
68886,Marlon Ribas,forward,1997-07-28,188.0,17.0,,70,63,71,64,67,75,82,https://youtu.be/pyrJOtXKH0g,https://youtu.be/0KhD1D-5IfM,27,166,FC Real Elite
68892,Andrey Profeta,defender,1996-02-26,190.0,17.0,,74,72,79,86,80,79,78,https://youtu.be/heRN3LonAGg,https://youtu.be/Nggkl1HyoKI,167,166,FC Real Elite
69175,Lucas Ancelotti,goalkeeper,2001-04-02,186.0,17.0,,75,,74,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/-o1fbzaQVn8,321,166,FC Real Elite
69243,Matheus Bueno,midfielder,2000-03-11,180.0,17.0,,76,71,78,78,82,78,79,https://youtu.be/pyrJOtXKH0g,https://youtu.be/h_MSWHR5Q3Y,179,166,FC Real Elite
69383,Dudu Andrade,forward,2003-07-23,167.0,17.0,,74,69,73,71,65,82,77,https://youtu.be/pyrJOtXKH0g,https://youtu.be/20FJmDMn5qU,26,166,FC Real Elite
70207,Lukeet,midfielder,2000-04-19,169.0,17.0,,67,62,73,81,77,77,71,https://youtu.be/pyrJOtXKH0g,https://youtu.be/2iRBeBOc1is,186,166,FC Real Elite
71122,Davi Ilario,midfielder,2002-03-29,,17.0,Wildcard,,,,,,,,,,,166,FC Real Elite
71354,Gustavo Rocha,goalkeeper,2002-07-04,193.0,17.0,,77,,81,,,,,https://youtu.be/cgnA5pkU_IM,https://youtu.be/WGp9vy0g5ZE,327,166,FC Real Elite
71684,João Fenato,midfielder,1997-09-24,177.0,17.0,,68,71,72,68,69,77,74,https://youtu.be/W6xuMNGXU34,https://youtu.be/5_VSlccgH5M,215,166,FC Real Elite
71735,Gabriel Lisboa,midfielder,1996-05-20,175.0,17.0,,72,65,72,76,68,78,70,https://youtu.be/W6xuMNGXU34,https://youtu.be/fHW7WUGWEiY,73,166,FC Real Elite
78040,Juninho Antunes,midfielder,1996-12-05,170.0,17.0,Wildcard,,,,,,,,,,,166,FC Real Elite
80061,João Vitor,forward,2002-08-22,178.0,17.0,,,,,,,,,,,,166,FC Real Elite
34619,Barata,goalkeeper,1998-07-07,183.0,17.0,Wildcard,,,,,,,,,,,167,Capim FC
68038,Victor Florio,defender,2003-12-05,185.0,17.0,,77,71,79,89,82,77,76,https://youtu.be/gPmmx78lJmA,https://youtu.be/-5I97SPvEF8,163,167,Capim FC
68132,Yan,defender,1993-11-23,180.0,17.0,,78,68,79,88,78,84,73,https://youtu.be/gPmmx78lJmA,https://youtu.be/OnwzswE-5EI,16,167,Capim FC
68215,GB Medeiros,defender,1995-11-03,176.0,17.0,,80,70,79,83,79,80,77,https://youtu.be/gPmmx78lJmA,https://youtu.be/MzvturSpkp0,153,167,Capim FC
69196,Brinquinho,forward,1995-02-24,175.0,17.0,,75,75,77,71,79,78,81,https://youtu.be/pyrJOtXKH0g,https://youtu.be/pkLUn-bQTCA,172,167,Capim FC
69852,João Nardi,defender,1999-08-02,185.0,17.0,,84,70,79,86,78,76,75,https://youtu.be/pyrJOtXKH0g,https://youtu.be/-AEtGxzxrxQ,30,167,Capim FC
70120,Maicon,defender,1998-04-02,183.0,17.0,,80,78,81,88,83,82,73,https://youtu.be/gPmmx78lJmA,https://youtu.be/3_-mEIwkkeE,13,167,Capim FC
70721,Vitinho,midfielder,1991-02-20,170.0,17.0,,77,79,79,79,81,79,74,https://youtu.be/Yv579-6_SVw,https://youtu.be/DkOxFszdFYk,192,167,Capim FC
71330,Henry Japa,midfielder,1988-05-23,170.0,17.0,,74,78,75,78,77,75,74,https://youtu.be/cgnA5pkU_IM,https://youtu.be/srEA7Wer7uU,221,167,Capim FC
71678,Kleber,forward,1993-10-31,183.0,17.0,,68,60,71,74,69,79,75,https://youtu.be/W6xuMNGXU34,https://youtu.be/7SUM3cr2S1U,70,167,Capim FC
78050,Negão,forward,1995-11-25,170.0,17.0,Wildcard,,,,,,,,,,,167,Capim FC
78051,Lucaneta,midfielder,1993-09-05,170.0,17.0,Wildcard,,,,,,,,,,,167,Capim FC
79959,Chiclete,midfielder,1992-09-17,175.0,17.0,,,,,,,,,,,,167,Capim FC
80056,Neto Show,midfielder,1989-12-07,172.0,17.0,,,,,,,,,,,,167,Capim FC
68012,Marcelinho Junior,forward,1996-08-03,178.0,17.0,,71,74,73,69,70,74,78,https://youtu.be/gPmmx78lJmA,https://youtu.be/urLJH1dsy44,7,168,Desimpedidos Goti
68307,Luisinho Barreiros,midfielder,1999-12-19,180.0,17.0,,64,57,67,77,67,71,68,https://youtu.be/gPmmx78lJmA,https://youtu.be/neEMQfL1epc,15,168,Desimpedidos Goti
68339,João Pedro,goalkeeper,2001-02-22,195.0,17.0,,77,,85,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/M5v-_71UryI,317,168,Desimpedidos Goti
69066,Vitão,goalkeeper,1995-07-03,185.0,17.0,,80,,83,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/NZZ5DoyMKqs,314,168,Desimpedidos Goti
70614,Lucas Donadi,defender,1998-03-12,180.0,17.0,,69,60,73,83,79,79,65,https://youtu.be/a1O7No9x1H0,https://youtu.be/0GTWUsr03fw,169,168,Desimpedidos Goti
71458,Fernando da Silva,midfielder,1993-05-07,180.0,17.0,,70,63,66,70,58,72,65,https://youtu.be/cgnA5pkU_IM,https://youtu.be/vJa2mNKZmAU,77,168,Desimpedidos Goti
71515,Gabriel Thor,forward,1992-06-23,183.0,17.0,,86,78,79,68,75,85,83,https://youtu.be/cgnA5pkU_IM,https://youtu.be/lo7YSQ0fafw,218,168,Desimpedidos Goti
71680,Gui Bernardinello,defender,1992-07-21,186.0,17.0,,67,70,72,79,75,73,66,https://youtu.be/W6xuMNGXU34,https://youtu.be/hhiyBKSpfd8,217,168,Desimpedidos Goti
71687,Gustavinho,forward,2004-12-08,167.0,17.0,,80,76,80,76,77,86,84,https://youtu.be/W6xuMNGXU34,https://youtu.be/mVn_F0qr9uw,74,168,Desimpedidos Goti
78043,Jonatas Batman,midfielder,1996-10-05,170.0,17.0,Wildcard,,,,,,,,,,,168,Desimpedidos Goti
78044,Caio Miranda,forward,1996-02-10,170.0,17.0,Wildcard,,,,,,,,,,,168,Desimpedidos Goti
78047,Victor Bolt,midfielder,1987-09-14,170.0,17.0,Wildcard,,,,,,,,,,,168,Desimpedidos Goti
80057,Kaique,midfielder,2002-07-03,170.0,17.0,,,,,,,,,,,,168,Desimpedidos Goti
